english,pos,lang1,lang2,lang3,lang4,lang5,lang6,lang7
to run,VB,rúzamu,àrúúngàmúmú,àrúúzàmṹmṹ,àrúúzàmṹzúzúmṹ,àrúngàmungungumu,arúzumũzubumũ,rúúngòmṹmṹ
conscience,NN,gorumaluxórumu,,,ðgùrúmã̀lúghórúmṹ,,,
kilometer,NN,kílimiri,qíílímíríqgíílímírí,,kíílímĩ́rí,qílimiri,qílimĩri,qíílímĩ́rí
race,NN,fúramu,,fúúràmṹnṹ,fúúràmṹnṹ,fúràmuhpàrànu,fúramũnũ,fúúròmṹnṹ
binoculars,NN,múrudógoru,,,,,mṹrudógorugo,
to get married,VB,númazamu,ànúúmàngàmúgùmù,mã̀nã̀rúmã̀mṹ,mã̀nã̀rú,màyhpànomu,,ngbórùmṹ
month,NN,sélimivári,hélímígàríní,,,,,
good,JJ,górumalu,þàdórúmàmúúrú,,ðgórúmṹ,nggórumàlu,þagórumãlu,nggórúmõ̀lú
best,RB,górumu,,,,nggórumu,,
worst,RB,mórumu,,,,mórumu,,
age/era,NN,vórunu,tógùrúlú,lórúmã̀lú,lórúmã,lóruma,kavuru,
wisdom,NN,zárumu,,,dzàrúmṹ,dngàrumu,dzarumũ,
blood,NN,xárumútúzuma,,,,,,
foolishness,NN,bóruno,,,,ngbóruno,,
belief,NN,xórumu,,,,xórumu,,
incredulity/disbelief,NN,xórumuno,,,,,,
season,NN,tóruvoru,,,,tóruvorulu,uvóruzamũ,
light,NN,mili,,,mĩ́lí,mili,,mĩ́líqèèd
light,JJ,milili,,,mĩ́lí,mili,,mĩ́líqèèd
darkness,NN,miline,,,,miline,mĩlinẽzeħrisnĩ,mṹlúnũ̀ngólúnṹnṹ
hobby,NN,fólumugóruama,,,fólúmṹzérímĩ,,,
path,NN,láka,,,,,lagã,
to hike,VB,túra,,,,túra,udúramũ,
a hike,NN,túramu,,,,túra,túramũ,
easy/simple,JJ,sélireli,,,,hélireli,,
dark,JJ,milineli,mílínìlí,mĩ́línẽlí,ímĩ́línĩ̀zìħríslí,,mĩlinẽzeħrisnĩ,mĩ́línĩ̀lí
hope,NN,góruma,,,,nggóruma,þagórumã,
winter,NN,ħórumu-vóruma,ħħórúmúvórúmànú,tàħórúmṹnṹ,tàħórúmṹvórúmã̀nṹ,,taħórumũvórumãnũ,
despair,NN,górumano,,,ðgórúmã̀nũ,nggórumàno,,
later,RB,márali,,,Mã̀ràlí,,,
beach,NN,bárolu,,þàbàrolúlú,ðbàrùlúlú,,,
agent,NN,dóranáruma,þàdórànàrúmàgù,þàdrànã̀rúmãã,,ngdórànàruma,,ngdórònõ̀rúmõ̀lú
AI,NN,áimi,,,,,,
idea,NN,vérami,,tàvéràmĩ́véràmĩ,tàgéràmĩ,,,vvérèmĩ
system,NN,dórava,þàdóràvàgà,àímĩ́dràvãã,Ðdóràvàgù,ngdóràva,þadóravã,ngdóròvòngò
evolution,NN,vóramu,,,,bvóràmu,bvóramũ,
readme,NN,dézielirízimini,,,,,,
automation,NN,tóravimi,,,,tóràgimili,,
training,NN,séravimi,,séràvímĩ́lí,,,,hérèvímĩ
to evoke/to awaken,VB,vóna,úvónàmú,tàvónã̀mṹ,,uvónàmu,uvónãmũ,úvónõ̀mṹ
mist,NN,shíynimi,shííynímílí,,shííynĩ́mĩ́lí,,shíynĩmĩli,shííynĩ́mĩ́lú
mouth,NN,vérizi,,,,,,
morning,NN,kúrumuvóruma,Kúúrúmúvórúmànú,,kúúrúmṹvórúmã,Kúrumuvórumànu,kúrumũvórumãnũ,
fist,NN,tárumu,,,,,,
to raise,VB,páruma,,,,,,
hell,NN,mózulu,,,,,,
rock,NN,kárunu,,,,Kàrunugo,,kòrúnṹgòrúnṹ
to roll/float,VB,némi,némímí,ínẽ́mĩ,nẽ́mĩ́mĩ,inémimi,,
to crash,VB,dúramu,,údúúràmṹzúnõ,,udúràmumu,,
downward,RB,márugulu,,mã̀rúgúlú,,màrugulu,,
baboon,NN,babún,þàbàbúúnúshbàbúúnúshgùùg,þàbàbúúnṹshbàbúúnṹshkook,,ngbàvúnàgo,,ngbòvúúnṹshmṹṹrúnṹ
bread,NN,bádu,,þàbàdú,,,þabadu,
house,NN,dómuru,þàdómúrú,Þàdómṹrúgo,ðdómṹrú,ngdómurunu,þadómũrunũ,ngdómṹrúnṹ
to lose,VB,dólumu,údólúmúmú,údólúmṹnõ,údólúmṹmṹ,,,
fen/marsh,NN,shúynuxóronu,,,,,,
marshy,JJ,shúynughóronulu,,,,,,
magic,NN,véramizérimi,,,,,,
long ago,RB,lóruma,lórúmàgà,lórúmã̀mṹ,lórúmã,Lóruma,,lórúmõ̀lórúmõ̀ngò
wind,NN,zéliri,bbúúrú,,Ðdúúrúmṹ,dngéliriqge,,
cloud,NN,nórumu,nórúmúnórúmú,,nṍrúmṹnṍrúmṹ,,,
park,NN,vórulu,,tàvórúlúnṹ,bvórúlúnṹ,bvórulunu,bvórulunũ,vvórúlúnṹ
star,NN,félirina,Fàlúrúnàdórúmàgùùg,félírínã̀félírínãã,félírúnã̀gélírínã,Fàlurunàdórumàgo,falurunãdórumã,kélírínĩ
to sing,"(ie, that which produces a song)",mánaruma,àmànàrúmàngúbúmú,úmã̀nã̀rúmã̀mṹ,mã̀nã̀rúmã,imànàrumàgomo,mãnãrumãmã,úmõ̀nõ̀rúmõ̀mṹ
sun,NN,fázumu,fàhúmúgù,fàsúmṹgo,fàzúmṹlú,fàngumulu,fazumũgo,fòngúmṹlú
to eat,VB,zálumu,àngàlúmúmú,úzàlúmṹmṹ,àzàlúmṹmṹ,ungàlumu,azalumũzumũ,òngòlúmṹmṹ
food,NN,záluma,,tàzàlúmã̀nṹ,,dngàluma,dzalumã,
satiated,NN,zálumazúra,,tàzàlúmã̀zúúràllú,,,,
water,NN,túzuma,,mã̀ysnṹ,túúzúmã,túnguma,túzumã,
night,NN,mulunozólunu,múlúnùngólúnúnú,,,,,mṹlúnũ̀ngólúnṹnṹ
moon,NN,lánumu,lànúmú,lànṹmṹgo,,lànumugo,,lònṹmṹgù
lunch,NN,zálumuzólunu,,tàzàlúmṹzólúnṹgo,dzàlúmṹzólúnṹ,,dzalumũzólunũ,
top secret,JJ,mágupúrumanulu,nàrúmànàrúmàlú,,,kórumunu,súmũrunũ,úkòngúmṹmṹlú
to rise,VB,vóvuma,úvóvúmàmú,úvóvúmã̀mṹ,úvórúzàgùmũ,àvórungàmu,uvóvumãmũ,úvóvúmõ̀mṹ
tomorrow,RB,vóruna,,tàvórúnãã,,,,
who,WH,lízire,llímíréngàmí,Líízíreo,Líízírìù,língireo,Lízireo,Lííngírìù
present/gift,NN,póruma,,,,póruma,,
personal time,NN,múranuzólunu,,tàzàlúmṹzólúnṹgo,Mã̀gúzúúràzórùnã̀ràgùùng,,,mṹṹrònṹngólúnṹ
to sacrifice,VB,téramadérimi,,,ítéràmã̀dérímĩ́mĩ,,,údéròmõ̀dérímĩ́mĩ
unique/extraordinary,JJ,zórazalu,ngóràngàlú,tàzórúzílú,,dngóràngàlu,dzórazalu,
riverbank,NN,zárunubárolu,,,,dngàrunubàrolulu,dzarunũbarolunũ,
everything,NN,mógospórumu,úngólúmúmú,,Mṍgùspórúmṹ,,,Mṍgùhpórúmṹ
empty,JJ,sám,,,,hàm,sam,Sèm
book,NN,ládamóluru,mólúrú,nĩ́lóràdàgo,,mólurumóluru,mṍlurumṍluru,údólúmṹmṹ
garden,NN,kóvunu,kóvúnúnú,kóvúnṹnṹ,kóvúnṹnṹ,kóvununu,kóvunũnũ,Kóvúnṹnṹ
although,SCONJ,kogono,,Kogonõ,Kùgùnũ,,Kogonõ,
otherwise,RB,kogonováruzulu,kùgùnùvàrúngúlú,,,Kogonovàrungulu,Kogonõvaruzulu,Kùgùnũ̀vòrúngúlú
lizard,NN,polunámora,,,pùlúnã̀mũ̀rã,,polunãmõrago,
to walk,VB,búlumu,,àbúúlúmṹ,,àvúlumumu,abúlumũmũ,òvúúlúmṹmṹ
statistics,NN,stádira,htàdúràdórúmàgà,stàdírãã,,htàduràdóruma,,Stèdírèngè
inference,NN,ínfereni,,íínferenĩ,,,,
strip/slice,NN,réza,,,,,,
alternative,NN,nérili,,nẽ́rílíverízí,,,,
hypothesis,NN,verizi,,nẽ́rílíverízí,,,,
null,JJ,lízéra,,líízéràverízí,,,,
name,NN,zida,,,,,,
zero,CARD,lízéra,,,,,lízérã,
transformer,NN,tránzuru,,trànzúrú,,,,
to relate,VB,vérimi,,,,,,
attention,NN,tánuru,,,tànṹrú,,,
UBC,NNP,Yúbuysuy,,,Yúúbúysúylú,,,
to travel,VB,trávimi,tràgímímí,,tràgímĩ,itràgimimi,Travumũdógoru,
to struggle/to fight,VB,sárimi,ngérímíngàrímí,,,,izarimĩmĩ,
to procrastinate,VB,lómamu,úlómàmúmú,,,,ulómãmũnõ,lómĩ́mĩ́mĩ
late,JJ,nórulu,nérílí,ígérímĩ́lí,kérídàrímĩ,,nẽ́rimĩli,nṍrúlú
observatory,NN,múnaru,Múúnàrúnú,mṹṹnã̀rúnṹ,Mṹṹnã̀rúnṹ,,,
planet,NN,zánguru,,tàzàngúrúgo,dzàngúrúnṹ,dngàngurumúrunu,dzanguru,ngòngúrú
telescope,NN,pélani,,pélànĩ,pélànĩ,pélàniqge,pélanĩgénĩ,
algorithm,NN,fénara,kénàràqngà,,fénã̀ràqgà,,Fénãrã,
satellite,NN,xúbaru,,xúúbàrú,xúúbàrúgùùng,,xúbaru,xúúbòrú
storm,NN,fázuma,fàngúmúgù,fàzúmã̀go,fàzúmã̀gù,fàngumàlu,fazumãgo,
sister,NN,náziri,nàngíríqgì,nã̀zíríge,nã̀zírí,Nàngiriqge,,Nĩ́ĩ
to write,NN,nárumu,únàrúmúmú,únã̀rúmṹmṹ,únã̀rúmṹmṹ,unàrumumu,unãrumũmũlu,únõ̀rúmṹmṹ
sin,NN,mózuma,Móngúmànàrúmàgà,tàzàlúmãã,mã̀nã̀rúmã,mànàrudóruma,mãnãrumãmã,mõ̀nõ̀rú
exam/quiz/test,NN,pírimi,,píírímĩ,ízàmĩ́mĩ,,igérimĩmĩ,Píírímĩ
nuanced,JJ,shúyalu,shúúyàgà,,shúúyàlú,shúyàlu,Shúyã,Shúúyòlú
hard/difficult,JJ,nárugu,nàrúgú,nã̀rúgúlú,nã̀rúgú,nàrugu,nãrugu,nõ̀rúgúlú
snake,NN,shissíra,,,,,,
homework,NN,dézari,þàdéngàrí,þàdézàrí,,ngdéngàrili,þadézari,hérì
to memorize,VB,zólumu,úngólúmúmú,,,ungólumungungumu,,úngólúmṹngúngúmṹ
to dream,VB,térami,,nẽ́rílí,téràmĩ,,téramĩ,
mathematics,NN,párumu,,pàrúmṹ,,,,pòrúmṹ
to cultivate,VB,cultivate,,,,,ubúmãmũ,
owl,NN,pórumu,,pobórúmṹ,pórúmṹbórúmṹ,Pórumubórumu,pórumũgo,
island,NN,rómuru,rómúrúnú,rómṹrúlú,rómṹrúnṹ,,rómũrunũ,rómṹrú-nṹ
kitchen,NN,fízani,kííngàníní,fíízànĩ,fíízànĩ́nĩ,,kízanĩ,
photograph,NN,múrazama,,,úmṹṹràzàmṹgùmũ,múràngàma,,mṹṹròngòmõ̀nṹ
to take a picture,VB,múrazamu,,,,,mṹranũzalumã,
joy,NN,fólumu,fólúmú,fólúmṹ,fólúmṹzérímĩ,fólumu,fólumũ,úfòlúmṹmṹ
rhythm,NN,réna,,rénãã,,rénàqgà,rénã,
great/grand,JJ,kálala,,Kàlãã,kàlàlàqgà,,Kalalã,
epic,JJ,zarakálala,,,,dngàràqgàlàlàqgà,,
to graduate/to master,VB,sérimidérimi,íhérímídérímíqgìmì,ízérímĩ́dérímĩ́mĩ,ízérímĩ́dérímĩ́mĩ,ingérimidérimi,izérimĩdérimĩmĩ,íngérímĩ́dérímĩ́mĩ́lí
to clean,VB,kázumudarumu,úgàngúmúdàrúmúnù,úgàzúmṹdàrúmṹmṹ,kàzúmṹlú,ugàngumudàrumumu,,úgòngúmṹdòrúmṹmṹ
speech,NN,tálimidérimi,llímídérímí,,,,,
to reach,VB,lóradárumu,úlóràdàrúmúmú,úlóràdàrúmṹmṹ,úlóràdàrúmṹzúzúbúmṹ,ulóràdàrumumu,ulóradarumũmũ,úlóròdòrúmṹmṹ
instrument,NN,pálumuma,pérímímàqngà,,,pàlumima,palumũmã,pòlúmṹmõ̀ngò
introduction,NN,vózumu,vvóngúmú,,bvózúmṹgùùng,,,
to hear,VB,bárimi,íàràmàngímí,íbàrímĩ́mĩ,íbàrímĩ́mĩ,ibàrimimi,ibarimĩmĩ,nggérímĩ
musician,NN,lámorudóru,làmùrúngúúràdórúmàgà,,làmũ̀rúdórúmã,mànàrudóruma,Lamõrudóru,Lòmũ̀rúdórúgòòg
athlete,NN,pálumudóru,pàlúmúdórúmàgà,pàlúmṹdrúmã̀gook,pàlúmṹdórúmã,pàlumunàruma,palumũnãrumãgo,pòlúmṹdórúmõ̀gù
bat,NN,tórumobálara,tórúmùbàlúrúgù,,,,,
stick,NN,bálara,,,ðbàlàràqgà,,,
stadium,NN,fúramuspára,,,,fúràmuhpàrànu,fúramũsparanũ,
theatre,NN,tóraluspára,,tràlúspàràlú,,,,tóròlúhpòròlú
actor,NN,tóralunáruma,tóràlúnàrúmàgà,Tóràlúnã̀rúmã̀gook,tóràlúnã̀rúmã,tóràlunàruma,tóralunãrumãgo,tóròlúnṹ
corn,NN,máys,màyh,mã̀ysomã̀ys,mã̀ys,màyhko,Mãys,mõ̀yshórúmṹ
popcorn,NN,máyspánomu,,mã̀yspànõmṹ,mã̀yspànũ̀mṹ,màyhpànomu,,
script,NN,tóraluládamóluru,tóràlúlàdàmólúrú,tràlúlàdàmṍlúrúlí,Tóràlúlàdàmṍlúrúgù,ngdórumàdórumàgo,,tóròlúlòdòmṍlúrú
to cry,VB,périma,,àbérímã̀zímĩ,àbérímã̀zízímĩ,àpérimàngingimi,,
black-and-white,JJ,bóħrunuvárumulu,,,,,,ngbóħrúnṹvòrúmṹlú
scene,NN,vérizima,ggéríngímàgéríngímàqngà,tàvérízímã̀nĩ,tàgérízímã̀qgà,tàgéringimàgo,bvérizimãge,
hawk,NN,ħárum,ħħàrúmúshkù,tàħàrúmṹshko,tàħàrúmlú,tàħàrumushko,taħarumũshlu,tòħòrúmṹshlú
crow,NN,ħòro,,tàħàroko,,tàħàrogo,taħarogo,tòħòrùlú
cave,NN,milinezeħris,,,ímĩ́línĩ̀zìħríslí,,mĩlinẽzeħrisnĩ,mĩ́línĩ̀ngìħríhnĩ
swan,NN,éle,élìlí,élelí,,éle,éleli,
hummingbird,NN,píbi,,Pííbíbííbíge,pííbíbííbíqgì,píbili,,pííbí
weather,NN,félirivérizi,,,,,kélirivérizi,
forest,NN,kóramudógorughóronu,kóràmúdógùrúghórùnúnú,kóràmṹdógorúghóronṹlú,,kóràmudógorughóronunu,,kóròmṹdógùrúghórùnṹnṹ
feather,NN,mìli,mìlímìlí,mẽlímẽlí,,,mẽlimẽli,mĩ̀límĩ̀lí
difficulty,NN,vúru,,,,,,
holy,JJ,zóluru,,,,,,
gold,JJ,málalu,,mã̀làlú,mã̀làlú,màlàlu,mãlalumã,mõ̀lòlú
to return,VB,mérimi,,,,,amẽ́rimĩ,
to fly,VB,lózumu,úlóngúmú,àlózúmṹgúmṹ,,àlóngumugomo,,ílóngúmṹmṹ
to bloom,VB,fála,,fàlàgemẽ,,,,kèlèmĩ
muse,NN,véramidágeri,,àvérímã̀mĩ,,,kérimĩli,íngérèdímĩ
far,RB,pélani,pélàní,,,pélàni,,pélènĩ
son,NN,nùmi,únàrúmú,nĩ́lí,nĩ,núma,nĩ́mã,nõ̀rúmõ̀gù
father,NN,tára,,,,tàràqgà,,
murder,NN,míraninérizi,,,,,,
murderer,NN,míraninérizina,,,,,,
murderous,JJ,míraninérizili,,,,,,
fated,JJ,sélimili,hélímílí,,,,sélimĩli,
vital,JJ,múranulu,,,,,,
Achilles,NNP,Aghíli,,,,,,
Peleus,NNP,Péleewsa,,,,,,
Achaea,NNP,Ākíya,,,,,,
angry,JJ,xòrolu,,,,,,
anger,NN,xòrona,,,,,,xòrùnõ̀ngò
rage,NN,xòrolughòron,,,,,xarolugharon,
Hades,NNP,Hedis,,,,,,
heaven,NN,vúlunu,,,,,,
ocean,NN,séliru,hélírú,,,,séliru,hélírú
fire,NN,xázunu,,,Xàzúnṹ,xàngunu,,xòngúnṹ
iron/metal,NN,tézimi,,,tézímĩ́lí,téngimili,tézimĩ,
fruit,NN,vónuma,vvónúmàgà,,bvónṹmã,bvónuma,bvónũmã,vvónṹmõ̀ngò
seed,NN,vónu,vvónúvónú,,bvónṹvónṹ,bvónuvónu,,vvónṹvónṹ
egg,NN,kúrumu,,,,,,
to wait,VB,nérimi,,,,Nàmihpíràni,inẽ́rimĩmĩ,nẽ̀mĩ́hpíírèngè
to carry,VB,lórumu,,,,,ulórumũmũ,
to bite,VB,zálami,àngàlàmímí,àzàlàmĩ́mĩ,àzàlàmĩ́mĩ,àngàlàmimi,izalamĩ,
to fear,VB,mózumu,,,,umóngumunomu,,òmṍngúmṹmṹ
to smell,VB,nízami,,ínĩ́zímĩ́mĩ,ínĩ́ĩ́zàmĩ́mĩ,níngàmi,inĩ́zamĩmĩ,
mime,NN,mimísmi,Mímííhmíqgììd,,,mimíhmiqge,,mĩ́mĩ́ĩ́hmĩ́gì
weapon,NN,tórumodógoru,,,,tórumodógoru,ulórumũmũ,tórúmũ̀dógùrú
cloth,NN,lúmuraluréza,,mṹṹrànṹrézãã,,,,
truth,NN,xélirini,xélíríní,,,xéliri,xélirinĩ,
message,NN,tálimirézami,llímíréngàmí,,tàlímĩ́rézàmĩ,,,
enemy,NN,mósumagáru,,,,,mṍzumãgarugo,
map,NN,mágedéreni,,,,,mãgedérenĩ,
hospital,NN,múranuspára,,,Mṹṹrànṹspàràzúúràdórúmã̀gùùng,Múrànuhpàràngúràdórumàgo,Mṹranũsparazúradórumãgo,
wealth,NN,málalunu,màlàlúnúlú,mã̀làlúnṹnṹlú,,,,
history,NN,sólunuzórumu,hólúnúngórúmúlú,,sólúnṹzórúmṹ,hírinili,,
evidence,NN,xéliridéreni,,,xélírítérìnĩ,xéliridéreni,,
theory,NN,véramizélima,,,,,,vvérèmĩ́ngélímẽ̀ngè
pattern,NN,rénavérizi,rénàgéríngí,,,,,
conflict,NN,sárumuzórumu,,,sàrúmṹzórúmṹ,,,
success,NN,dárumuvólumu,,þàdàrúmṹvólúmṹ,ðdàrúmṹvólúmṹ,ngdàrumuvólumu,,ngdòrúmṹvólúmṹ
failure,NN,dáliminéri,,þàdàlímĩ́nẽ́rígemẽ,,ngdàliminéri,,
concept,NN,vónaváramu,,,,,,
complexity,NN,nárugunu,,nã̀rúgúnĩ́nĩ,,,,
draft,NN,vózumurélama,,,,,,vvóngúmṹrélòmõ̀ngò
one,CARD,sé,shénù,,Shénĩ,,,
two,CARD,po,pù,pogàdíngérenã̀nĩ,,Poéle,pogadingérebe,
three,CARD,nézi,,,nẽ́zíqgàdí,,,nẽ́ngígèdí
four,CARD,vóru,ggàríqgàdí,tàvàrígàdí,pííràqgà,píràqgà,bvarigadi,ngúúròvórúnṹ
five,CARD,náni,nàní,,nã̀nĩ,,,
six,CARD,kóru,,,,kóvànulu,kóru,údórúmũ̀mṹ
seven,CARD,tézi,,,,,,
eight,CARD,ú,Ú,úú,úú,ú,nĩzã,
nine,CARD,níza,,Kàdíngérelúúnãã,,níngàqgà,Lúnã,
ten,CARD,vézi,,tàvézíngérenã̀nĩ,tàgézí,,bvézi,vvéngí
eleven,CARD,nómo,,,,,,
twelve,CARD,fúzu,,,,fúngu,fúzu,Fúúngú
thirteen,CARD,hálu,hàlú,hàlú,,,halu,
fourteen,CARD,téna,,,,,,
fifteen,CARD,bíra,þàbííràqngà,,,ngbíràqgà,þabírã,
sixteen,CARD,shís,,,,,Shís,
seventeen,CARD,mánu,,,,,,
eighteen,CARD,vóza,,,bvózã,,,
nineteen,CARD,lúna,Lúúnàgà,,,Lúna,Lúnã,
twenty,CARD,kádi,qàdí,kàdíngéreúú,,,bvézingangali,
400 píra (20^2; 100 in base,CARD,20),,,,,,
"8,000 múzu (20^3; 1000 in base",CARD,20),,,,,,
"64,000,000 vóma (20^6; 1000000 in base",CARD,20),,,,,,
white,JJ,éleli,,,,,,
yellow,JJ,málalu,,,,,,
blue,JJ,félirili,kélírílí,,,,kélirili,kélírílí
green,JJ,kóvanulu,Kóvànúlú,,Kóvànṹlú,kóvànulu,kóvanũlu,Kóvònṹlú
purple,JJ,shúyalu,,,,,,
gray,JJ,shíynili,,,,,,shííynĩ́lí
silver,JJ,tézimili,téngímílí,tézímĩ́lí,tézímĩ́lí,téngimili,tézimĩli,Téngímĩ́lí
transparent,JJ,múranuzámulu,,,,,,
bright/shining,JJ,glízali,,ízàmĩ́mĩ,ðglíízàlí,àgérimàlàngimi,þaglízali,
loud,JJ,bárimili,ídàrímíngúmí,,ídàrímĩ́zúmĩ,,,
quietly,RB,nebárimilimi,,,,,nẽbarimĩlimĩ,
heavy,JJ,kárunulu,kàrúnúlú,,,,karunũlu,kòrúnṹlú
lightweight,JJ,mìlili,,,,,,
hot,JJ,xázunulu,,xàzúnṹlú,dzàngúrú,,,
sharp,JJ,tórumalu,,,,tórumàlu,,tórúmõ̀lú
blunt,JJ,dólumalu,,,,,,
brave,JJ,mózunolu,móngúnùlú,Mṍzúnõlú,,Móngunolu,mṍzunõlu,mṍngúnũ̀lú
cowardly,JJ,mózumulu,,,,,,
coward,NN,mózuma,,,,,,
wise,JJ,zárumulu,úbàlúmúnùmú,,,Kogonovàrungulu,Kogonõvaruzulu,
foolish,JJ,bórunulu,,,,,,
fast,JJ,fúdurulu,,,,fúdurulu,,
slowly,RB,nólumulu,,nṍlúmṹlú,,,,
tall/high,JJ,vóvumalu,úlóngúmú,tàvóvúmã̀lú,,,,
short/low,JJ,márugulu,þàbórùmúmú,xàzúnṹlú,lúúmṹràlú,màngumugo,þagórumãlu,fórúmõ̀lú
wide,JJ,mógolu,,,,,,
narrow,JJ,rézali,,,,,,
wet,JJ,shíynimili,shííynímílí,,shííynĩ́mĩ́lí,shíynimili,,
dry,JJ,xóronuzámushlu,hélí,,,,kóvanũlu,
ancient,JJ,zúravórunulu,ngúúràvórúnúlú,tàzúúràvórúnṹ,dzúúràvórúnṹ,dngúràvórunu,dzúravórunũ,ngúúròvórúnṹ
young,JJ,dórumulu,,,ðdórúmṹlú,,,
expensive,JJ,málalunulu,,mã̀làlúnṹlú,,,,mõ̀lòlúnṹlú
cheap,JJ,múranulu,,,,,,
spicy,JJ,xázimili,,xàzímĩ́lí,xàzímĩ́lí,,,
sweet,JJ,férimili,,,,,kérimĩli,
bitter,JJ,xòrolanu,,,,,,
hard,JJ,tézimili,,,téràmĩ,,,
soft,JJ,lúmuralu,lúúmúràlúbàlù,lúúmṹràlúpélo,,lúmuràlubàlo,lúmũralu,lúúmṹròlúbòlù
separately,RB,séli,,,,,séli,
often,RB,zéranira,,,,,dzéranĩrã,ngérènĩ́rèngè
rarely,RB,dólumura,,,,,,
clean,JJ,kázumulu,úgàngúmúdàrúmúnù,úgàzúmṹdàrúmṹzúzúmṹ,kàzúmṹlú,ugàngumudàrumumu,,úgòngúmṹdòrúmṹmũ
dirty,JJ,mózumulu,,mṍzúmṹlú,,,,
rich,JJ,málalununulu,màlàlúnúnúlú,Mã̀làlúnṹnṹlú,,,Mãlalunũnũlu,
poor,JJ,dólumununulu,Þàdólúmúnúnúlú,þàdólúmṹnṹnṹlú,ðdólúmṹnṹnṹlú,,,
strong,JJ,zérimili,ngérímílí,,,dngérimili,,
weak,JJ,zérimineli,,,dzérímĩ́nĩ̀lí,dngérimineli,dzérimĩnẽli,ngérímĩ́nĩ̀lí
early,JJ,vózumulu,,,,,,
late,JJ,nérimili,nérílí,ígérímĩ́lí,kérídàrímĩ,,nẽ́rimĩli,nṍrúlú
dangerous,JJ,mózulu,,,mṍzúlú,,,
safe,JJ,górumalu,,,,,,
lucky,JJ,sélimili,Sélímílí,,,,,
unfortunate,JJ,férineli,,,,,,
honest,JJ,xélirili,,Xélírílí,,,Xélirili,
deceitful,JJ,púrumulu,,,,,Púrumũlu,
hungry,JJ,zálumavázumu,,,,ungàlumu,dzalumãvazumũ,
thirsty,JJ,nízimavézimi,,nĩ́ĩ́zímã̀vézímĩ́lí,,,,
helpful,JJ,gérimilu,,hólúrúlú,,hólurulu,hólurulu,
useless,JJ,tógorunolu,,,,,,
sword,NN,míraninérizibálara,,mĩ́ĩ́rànĩ́nẽ́rízíbàlàrãã,,,mĩ́ranĩnẽ́rizibalarã,
earth/soil/dirt:,NN,dága,þàdàqgàqngà,,ðdàgànṹ,ngdàqgàqgà,,
smoke:,NN,fúma,fúúmàgà,,,,,fúúmõ̀ngò
lalley/lowland:,NN,màru,,,,,,
bone:,NN,shéne,shénù,shénẽzhénẽnĩ,Shénĩ,Shénoda,,
skin/bark,NN,pélo,,,,,Palodã,
salt:,NN,báza,,þàbàzãã,,,,
shadow/ghost:,NN,níma,níímàqgì,nĩ́ĩ́mãã,nĩ́ĩ́mã̀qgà,nímàqgà,nĩ́mã,Nĩ́ĩ
key,NN,vólumudógoru,,tàvólúmṹdógorú,,bvólumudógoru,bvólumũdógoru,vvólúmṹdógùrú
medicine:,NN,múranuzáluma,,,,,mṹranũzalumã,mṹṹrònṹngòlúmõ̀ngò
alphabet,NN,rázumurána,ràngúmúrànàgà,ràzúmṹrànã̀gook,ràzúmṹrànã,ràngumuràna,,rómṹrú-nṹ
prison,NN,nèmispíra,nàmíhpííràní,,,nàmihpíràni,nãmĩspíranĩ,nẽ̀mĩ́hpíírènĩ
mirror,NN,várudógoru,,tàvàrúdógorúgo,bvàrúdógùrúgù,,bvarudógorugo,
grave,NN,míranispíra,,,,,,mĩ́ĩ́rènĩ́hpíírènĩ
weapon,NN,tórumodógoru,,,,tórumodógoru,ulórumũmũ,tórúmũ̀dógùrú
armour,NN,lúmuralubálo,,,,lúmuràlubàlo,,lúúmṹròlúbòlù
