english,pos,proto_form,confidence,n_cognates,lang1,lang2,lang3,lang4,lang5,lang6,lang7
student,NN,*dóruma,high,6,dóruma,þàdórúmàdórúmàgù,þàdrúmã̀drúmã̀go,ðdórúmã̀dórúmã,Zdórumàdóruma,þadórumãdórumãgo,ngdórúmõ̀dórúmõ̀gòòg
language,NN,*lóruma,high,4,lóruma,,Lórúmã̀dãã,lórúmã,lóruma,lórumã,
to create,VB,*góruamu,high,6,góruamu,úgórúàmúgùmù,úgórúàmṹmṹ,àgórúwàmṹzúzúmṹ,ugóruwàmugomo,ugóruamũzuzumũ,úgórúòmṹmṹ
now,RB,*hére,high,4,hére,hérímíní,hére,,hére,,hérì
to test,VB,*zúruma,low,1,zúruma,,,,dngúrumàgo,,
world,NN,*mógo,high,6,mógo,Mógùgù,mṍgonṹ,Mṍgùspórúmṹ,mógogo,mṍgonũ,mṍgùnṹ
linguistics,NN,*líneni,medium,2,líneni,líínìnílí,líínẽnĩ́lí,,,,
to welcome,VB,*árama,high,5,árama,íàràmàmí,íàràmã̀lí,,iyàràmàmi,angaramãmĩ,íèrèmẽ̀mĩ
this,DT,*kogo,high,6,kogo,Kùgù,Kogo,Kùgù,Kogo,kogo,Kùgù
documentation,NN,*dénili,high,5,dénili,þàdénílí,þàdénĩ́lí,ðdénĩ́lí,ngdénilili,,ngdénĩ́lí
to be,VB,*sami,low,0,sami,,,,,,
to learn,VB,*sérimi,high,6,sérimi,íhérímídérímíqgìmì,ízérímĩ́dérímĩ́gemẽ,ízérímĩ́dérímĩ́mĩ,ingérimidérimimili,izérimĩdérimĩmĩ,íngérímĩ́dérímĩ́mĩ́lí
together,RB,*tírimi,high,6,tírimi,tíírímí,tíírímĩ,tíírímĩ,tírimi,tírimĩ,tíírímĩ
to speak,VB,*tálimi,high,5,tálimi,ídàlímímí,Idàlímĩ́nẽ,ídàlímĩ́mĩ,idàlimimi,,ídèlímĩ́mĩ
long,RB,*lóruma,high,4,lóruma,lórúmàgà,lórúmãã,Lórúmã,Lóruma,,
to reflect/to figure out,VB,*sérali,high,5,sérali,,ízéràlímĩ,ízéràlímĩ,ingéràlimi,izéralimĩ,nẽ́rílí
while,IN,*hére,high,6,hére,héré,héré,héré,Hére,Hére,Hérì
to build,VB,*fírimi,high,6,fírimi,ígíírímímí,ívíírímĩ́mĩ,ígíírímĩ́mĩ,igírimimi,ivírimĩmĩ,ívíírímĩ́mĩ́lí
to ensure,VB,*sérimi,high,6,sérimi,íqgérímímí,ízérímĩ́mĩ,ízérímĩ́mĩ,ingérimingingimi,izérimĩmĩ,íngérímĩ́dérímĩ́lí
expressive,JJ,*xérali,medium,3,xérali,xéràlí,,Xéràlí,xéràli,,
to hide,VB,*púruma,high,5,púruma,úbúúrúmàmí,úbúúrúmṹzúmm,ípúúrúmã,úurumàmu,ubúrumũmũ,
room,NN,*spíra,high,4,spíra,íàràmàmí,íàràmã̀lí,,,spíranĩ,hpíírènĩ
to grow,VB,*dárimi,high,6,dárimi,ídàrímíngímí,ídàrímĩ́mĩ,ídàrímĩ́zúmĩ,idàrimimi,idarimĩmĩ,ídèrímĩ́gìmĩ
also,CONJ,*tírimi,medium,2,tírimi,,tíírímĩ,,tírimi,,
if,CONJ,*héré,high,6,héré,Héré,Héré,Héré,Héré,héré,Héré
calculation,NN,*kérim,high,4,kérim,,kérím,kérím,,qérimĩnĩ,Kérímĩ̀shdérímõ̀gòòg
to hit,VB,*tórumo,high,6,tórumo,údórúmúmú,údrúmṹmmõ,údórúmũ̀dórúmã̀mṹ,udórumodórumàmu,udórumõdórumãmũ,útórúmũ̀dórúmõ̀mṹ
sentence,NN,*sómut,low,1,sómut,hómúthómút,,,,,
to see,VB,*vérima,high,6,vérima,ígérídérímímí,ívérímã̀mĩ,ígérímã̀zízímĩ,àgérimàmi,ivérimãzibimẽ,ívérímẽ̀mĩ
serious,JJ,*xórumo,high,4,xórumo,,xórúmõ,Xórúmũ̀ghórúmũ,,xórumõ,xórúmũ
stuff,NN,*spórum,low,1,spórum,hpórúmú,,,,,
friend,NN,*géri,high,5,géri,þàqgéríqgì,þàgérígérí,,ngqgériqgéri,þagérigéri,nggérígérí
excited,JJ,*férila,low,1,férila,,férílãã,,,,
to share,VB,*dérimi,medium,3,dérimi,ídérímímí,ídérímĩ́gemẽ,,idérimi,,
day,NN,*sélimi,high,6,sélimi,hélímí,sélímĩ́nĩ,sélímĩ,hélimini,sélimĩ,hélímĩ́nṹ
daily,JJ,*sélimili,low,1,sélimili,,,,hélimili,,
class,NN,*déni,high,6,déni,þàdénídénílí,þàdénĩ́dénĩ,ðdénĩ́dénĩ́lí,ngdéni,dzérenĩ,ngdénĩ
frame,NN,*súzu,low,1,súzu,,,,,súzu,
to endure,VB,*nérimi,medium,3,nérimi,ínérímímí,ínẽ́rímĩ́mĩ,ínẽ́rímĩ́mĩ,,,
to finish,VB,*dérimi,high,5,dérimi,ídérímímí,ídérímĩ́mĩ,ídérímĩ́dérímĩ́mĩ,,idérimĩdérimĩmẽ,ídérímĩ
many,DT,*zéreni,high,6,zéreni,ngérìní,tàzérenĩ,dzérìnĩ,dngéreni,dzérenĩ,ngérìnĩ
coffee,NN,*kávuru,high,6,kávuru,kàvúrú,kàvúrú,kàvúrú,kàvuru,kavuru,kòvúrú
to need,VB,*dézimi,high,6,dézimi,ídéngímímí,ídézímĩ́mĩ,ídézímĩ́mĩ,idéngimimi,idézimĩmĩ,ídèlímĩ́mĩ
field,NN,*xóronu,high,6,xóronu,xórùnúnú,xóronṹnṹ,xórùnṹnṹ,xóronunu,xóronũnũ,xórùnṹnṹ
computer,NN,*kómuru,high,5,kómuru,kómúrúnú,Kómṹrúgómṹrú,,kómuru,kómũrugómũru,kómṹrú
tool,NN,*tógoru,high,6,tógoru,tógùrúlú,tógorú,tógùrú,tógoru,tógoru,tógùrú
important,JJ,*zórumalu,high,5,zórumalu,,tàzórúmã̀lú,dzórúmã̀lú,dngórumàlu,dzórumãlu,ngórúmõ̀lú
new,JJ,*nérili,high,6,nérili,nérílí,nẽ́rílí,nẽ́rílí,nérili,nẽ́rilu,nẽ́rílí
data,JJ,*téreni,high,6,téreni,térìní,térenĩ,térìnĩ́lí,téreni,térenĩ,térìnĩ
to want,VB,*vézimi,high,6,vézimi,ígéngímímí,ívézímĩ́mĩ,ígézímĩ́mĩ,igéngimimi,ivézimĩmĩ,ívéngímĩ́mĩ
school,NN,*dénimi,medium,3,dénimi,,þàdénĩ́mĩ́nĩ,ðdénĩ́mĩ,,þadénĩmĩli,
project,VB,*gérimi,high,5,gérimi,Þàqgérímí,þàgérímĩ,ðqgérímĩ,ngqgérimi,,nggérímĩ
very,RB,*zúra,high,5,zúra,ngúúràgà,tàzúúrãã,dzúúrã,dngúra,dzúrã,
kind,JJ,*sólurulu,high,4,sólurulu,,,sólúrúlú,hóluruhólurulu,sólurulu,hórúlúnṹ
classroom,NN,*kórumu,high,5,kórumu,kórúmúnú,Kórúmṹnṹ,,kórumu,Kórumũnũ,kórúmṹnṹ
astronomer,NN,*fálurunadóruma,high,5,fálurunadóruma,Fàlúrúnàdórúmàgùùg,Fàlúrúnã̀drúmã̀gook,fàlúrúnã̀dórúmã,Fàlurunàdórumàgo,falurunãdórumã,
snack,NN,*sánomu,high,5,sánomu,hànùmú,sànõmṹ,sànĩ́mṹnã̀rú,hànomu,,hònũ̀mṹ
notebook,NN,*nóduru,high,4,nóduru,nótúrú,nṍdúrú,,,nṍduru-li,nṍdúrú
helpful,JJ,*hólurulu,medium,3,hólurulu,,hólúrúlú,,hólurulu,hólurulu,
story,NN,*sórumu,high,6,sórumu,hólúnúngórúmúlú,sórúmṹ,sólúnṹzórúmṹ,Aàrumàlu,sórumũ,mõ̀yshórúmṹ
karaoke,NN,*kánara,high,4,kánara,,,kànã̀ràlú,kànàràlu,kanãralu,kònõ̀ròlú
to go,VB,*bóromu,high,6,bóromu,þàbórùmúmú,àbóromṹmṹ,ðbórùmṹzúbúmĩ,ngbóromumu,þabóromũlu,úbórùmṹmṹ
to enjoy/like,VB,*fálumu,high,6,fálumu,fàlúmúnù,úvàlúmṹmṹ,úfàlúmṹmṹ,uvàlumu,ufalumũmũ,úfòlúmṹmṹ
laptop,NN,*míniri,medium,3,míniri,,,,míniriqge,mĩ́nĩri,Mĩ́ĩ́nĩ́rí
to use,VB,*tórumu,high,6,tórumu,tógùrúlú,údrúmṹmṹgo,údórúmṹmṹ,àlóngumu,idórumũmũ,údórúmṹmṹ
bed,NN,*súmuru,high,5,súmuru,húúmúrúnú,súúmṹrúnṹ,lúúmṹràlú,húmurumúrunu,súmũrunũ,
to charge,VB,*lúzumu,high,4,lúzumu,lúúngúmínìmí,lúúzúmṹ,,lúngumu,lúzumũmũ,
free,JJ,*múranulu,medium,3,múranulu,,mṹṹrànṹlú,,,mṹranũlu,mṹṹrònṹlú
event,NN,*fóruma,medium,2,fóruma,,fórúmã̀vórúmã̀lú,,,,fórúmõ̀lú
cherry,NN,*sakúra,medium,3,sakúra,,Sàgúúrãã,sàgúúrã,hàgúra,,
flower,NN,*kírimi,high,5,kírimi,,kíírímĩ,kíírímĩ,qírimili,kélirivérizi,qíírímĩ́gíírímĩ
beautiful,JJ,*lúmuralu,high,6,lúmuralu,lúúmúràlú,lúúmṹràlú,lúúmṹràlú,lúmuràlu,lúmũralu,lúúmṹròlú
quick,JJ,*fúdurulu,high,5,fúdurulu,fúúdúrúlú,fúdúbóromṹmṹ,Fúúdúrúlú,fúdurulu,fúdurulu,
brown,JJ,*bórunulu,low,1,bórunulu,,,ðbórúnṹlú,,,
fox,NN,*vúlumu,high,4,vúlumu,bbúúlúmúbúúlúmú,,bvúúlúmṹ,,tabúlumũ,vvúúlúmṹ
lazy,JJ,*nólumulu,high,5,nólumulu,nólúmúlú,,nṍlúmṹlú,nólumulu,nṍlumũlu,nṍlúmṹlú
dog,NN,*bárumu,medium,3,bárumu,Þàbàrúmúgù,,ðbàrúmṹgù,,Pobarumũbo,
to jump,VB,*púrumu,medium,2,púrumu,,,àvúúrúmṹvàrúmṹmṹ,,Pobarumũbo,
to pass,VB,*fárumu,low,1,fárumu,,,fàrúmṹdàrúmṹmṹ,,,
to miss/to lack,VB,*dólumu,high,5,dólumu,,sórúmṹ,ðdólúmṹgùmũ,ngdólumulu,udólumũmũ,òdòrúmṹmṹ
to end,VB,*nérimi,high,6,nérimi,nérímíqgì,ínẽ́rímĩ́mĩ,nẽ́rímĩ,unórumugomo,inẽ́rimĩgemẽ,únṍrúmṹgùmũ
to celebrate,VB,*férimi,high,6,férimi,ígérímíqgìmì,ívérímĩ́gemẽ,ígérímĩ́qgìmĩ,igérimiqgeme,avérimĩgemẽ,ívérímĩ́gìmĩ
Vancouver,NN,*Vánukuva,high,5,Vánukuva,,tàvànṹgúvànṹ,bvànṹgúvã,bvànuguvànu,bvanũguvanũ,vvònṹgúvòlú
spring,NN,*vóruma,high,6,vóruma,vvórúmànú,tàvórúmã̀nṹ,bvórúmã̀nṹ,bvórumàlú,bvórumãnũ,vvórúmõ̀nṹ
final,JJ,*nérimili,high,4,nérimili,,nẽ́rímĩ́lí,nẽ́rímĩ́lí,,nẽ́rili,nẽ́rímĩ́lí
to look forward to,VB,*límiri,high,6,límiri,ílíímírímí,ílíímĩ́rímĩ,ílíímĩ́rímĩ,ilímirimi,ilímĩrimĩ,ílíímĩ́rímĩ
week,NN,*zómuru,medium,3,zómuru,,,dzómṹrúgùlú,,dzamĩrizélimĩnĩ,ngómṹrúgùlú
quiz,NN,*tórunu,medium,3,tórunu,,trúnṹdrúnṹ,tórúnṹdórúnṹ,,tórunũ,
grateful,JJ,*górumula,medium,2,górumula,,,ðgórúmṹlã,,,nggórúmõ̀lòngò
library,NN,*pánuru,high,6,pánuru,pànúrúnú,pànṹrúnṹ,pànṹrúlúlú,Pànuruli,panũrunũ,pònṹrúnṹ
dictionary,NN,*móluru,medium,3,móluru,mólúrú,mṍlúrú,mṍlúrú,,,
song,NN,*mánaru,high,6,mánaru,mànàrú,mã̀nã̀rú,mã̀nã̀rúmã̀nã̀rú,mànàrumànàru,mãnãrumãnãru,mõ̀nõ̀rú
poem,NN,*rélama,medium,3,rélama,,,,rélàmàqgà,rélamãrélamã,rélúmṹ
to help,VB,*gérimi,high,5,gérimi,,ízàmĩ́mĩ,àqgérímĩ́mĩ,àqgérimimi,agérimĩmĩ,ègérímĩ́mĩ
rule,NN,*sélima,medium,2,sélima,hélímàqngà,,,,,hélímẽ̀hélímẽ̀ngè
bilingual,JJ,*polórumalu,low,0,polórumalu,,,,,,
to refuse,VB,*názimi,medium,2,názimi,,,ínã̀zímĩ́nĩ,,inãzimĩmĩ,
to burn,VB,*xázimi,low,0,xázimi,,,,,,
ring/circle,NN,*kólo,high,6,kólo,kólù,kólo,kólù,kólo,kólogólo,kólù
offer,NN,*bórumu,low,1,bórumu,,,ðbórúmṹ,,,
and,CONJ,*hére,high,6,hére,hérì,hére,hérì,hére,hére,hérì
what,WH,*lízera,low,1,lízera,xélírí,,,,,
true,JJ,*xéliri,high,4,xéliri,xélírí,xélírínẽ,xélírí,,,xélírí
point of view,NN,*vérizi,high,4,vérizi,xélírí,sérímĩ,térìnĩ,,bvarigadi,
museum,NN,*donubánu,high,4,donubánu,þàdùnúbànúlú,þàdonṹbànṹnṹ,,,þadonũbanũ,ngdùnṹbònṹnṹ
eye,NN,*múru,high,5,múru,múúrúdàgù,,mṹṹrúnṹ,Tàmomúrudogo,mṹrudógorugo,pùmṹṹrúdù
lifeless,JJ,*múranulu,low,1,múranulu,,,mṹṹrànṹlú,,,
black,JJ,*bóhrunu,high,5,bóhrunu,,Þàbóhrúnṹ,Ðbóħrúnṹvàrímĩ́lí,ngbóħrunulu,þabóħrunũ,ngbóħrúnṹ
doll,NN,*sóluma,low,1,sóluma,,,sólúmã,,,
like,ADP,*tírimi,high,5,tírimi,fàlúmúnù,tàvérízínĩ,tíírímĩ,,Tímẽ,ívíírímĩ́mĩ́lí
frankly,RB,*xérali,medium,3,xérali,,Xéràlí,,Xéràli,,Xérèlí
beloved,NN,*férigéri,low,1,férigéri,,,,kériqgéri,,
damn,NN,*kérim,low,1,kérim,,,,qérimoshtórumodóruma,,
to give,VB,*tórumu,high,5,tórumu,tórúmúbú,údrúmõzúbúmṹ,údórúmṹzúbúmṹ,udórumomu,,údórúmũ̀mṹ
to blow,VB,*périmi,low,1,périmi,íbérímídérímímí,,,,,
home,NN,*súmura,medium,3,súmura,húúmúràlú,,,dngúràgúra,súmũralu,
to look,VB,*vérima,high,6,vérima,ílíímírímí,ívérímã̀mĩ,ígérímã̀zízímĩ,igérimàngimi,amẽ́rimĩ,vvèrínĩ
kid/child,NN,*dórumu,high,6,dórumu,þàdórúmú,þàdrúmṹlú,ðdórúmṹ,ngdórumu,þadórumũ,ngdórúmṹ
question,NN,*sélima,low,1,sélima,hélímàqngà,,,,,
uh,UH,*glé,low,0,glé,,,,,,
scholar,NN,*zúradóruma,high,6,zúradóruma,ngúúràdórúmàgù,Pozúúràdrúmã̀õ,dzúúràdórúmã̀gù,Pongúràdórumàwo,dzúradórumãgo,ngúúròdórúmõ̀gòòg
to be able to,MD,*fárumu,low,0,fárumu,,,,,,
to stop,VB,*nérimi,low,1,nérimi,,nẽ́rímĩ,,,,
should,MD,*dézimi,medium,3,dézimi,,ídézímĩ́mĩ,,,þadézimĩ,ngdéngímĩ
vestal,NN,*nérimidérima,low,1,nérimidérima,,,,,,Nẽ́rímĩ́dérímẽ̀ngè
pure,JJ,*múranuzómut,low,1,múranuzómut,,,,,,mṹṹrònṹngómṹdù
fate,NN,*sélimi,medium,2,sélimi,hélímílí,,,,sélimĩ,
happy,JJ,*férimala,high,5,férimala,àgérímàlàngímí,férímã̀lãã,férímã̀làqgà,àgérimàlàngimi,,kérímẽ̀lèngè
to forget,VB,*dólumu,medium,3,dólumu,ídólúmúmú,,,udólumumu,,údólúmṹmṹ
to forgive,VB,*várudólumu,low,0,várudólumu,,,,,,
or,CONJ,*hére,medium,2,hére,,hére,,hére,,
to rain,VB,*shíyni,high,5,shíyni,ízhííynímí,ízhííynĩ́mĩ,,ishíynimi,ishíynĩmĩ,shííynĩ́mĩ́gì
mountain,NN,*zeħris,high,5,zeħris,ngìħríh,tàzeħríslí,dzìħríslí,dngeħrih,dzeħris,
to sleep,VB,*órumo,high,6,órumo,àórúmúmú,à-órúmõ-mĩ,àwórúmũ̀mṹ,àwórumogomo,aórumõmũ,òórúmũ̀mṹ
to read,VB,*elirízimi,high,5,elirízimi,íìlírííngímíngíngímílí,,íìlíríízímĩ́zízímĩ,ieliríngimimili,ielirízimĩnẽ,íìlírííngímĩ́mĩ
to dance,VB,*názaluzo,low,1,názaluzo,,,,,unãzaluzo,
proud,JJ,*xórughuralu,medium,2,xórughuralu,xórúghúràlú,xórúghúràlú,,,,
man,NN,*háruma,high,4,háruma,,hàrúmã̀go,úbàrúmã̀mṹ,hànomu,ubarumãmũ,
empty,JJ,*sám,medium,3,sám,,,,hàm,sam,Sèm
desert,NN,*xóronuzám,high,4,xóronuzám,xórùnúnú,xóronṹzàmlú,xórùnṹzàmṹshnṹ,,,xórùnṹngòmṹshnṹ
to flee/to run,VB,*fudubóromu,high,4,fudubóromu,,úvúdúbóromṹgomõ,fúúràmṹ,pàlumudóruma,,fúúròmṹ
gunslinger,NN,*tórumodóruma,low,1,tórumodóruma,,Tórúmõdrúmã̀gook,,,,
terror,NN,*mózu,medium,3,mózu,,Mṍzú,,móngu,mṍz,
twenty,CARD,*kádi,medium,3,kádi,qàdí,kàdíngéreúú,,,bvézingangali,
eight,CARD,*ú,high,5,ú,Ú,úú,úú,ú,nĩzã,
judge,NN,*téme,medium,3,téme,,ídémẽnĩ́mĩ,,idémenimi,tímẽ,
to judge,VB,*témeni,high,4,témeni,ídémìmí,ídémẽnĩ́dérímĩ́mĩ,,idémenimi,idémẽnĩdérimĩmĩ,
critic,NN,*támodóruma,medium,3,támodóruma,,tàmõdrúmã̀gook,,Tàmodórumàgo,tamõdórumã,
to critique,VB,*támodórumanu,low,1,támodórumanu,í-témìmí,,,,,
year,NN,*vári,medium,3,vári,ggàrígàríní,,,,bvarivarili,vvèrínĩ
to begin,VB,*vózu,medium,2,vózu,,úvózúmṹ,,uvóngumumu,,
boat,NN,*púda,low,1,púda,,,,púda,,
paper,NN,*léda,medium,2,léda,,,,lédàni,lédalédã,
to float,VB,*némi,medium,3,némi,némímí,ínẽ́mĩ,nẽ́mĩ́mĩ,,,
gutter,NN,*xálo,medium,3,xálo,xàlùnú,xàlonṹ,xàlùnṹ,,,
rain,NN,*shíynimi,high,5,shíynimi,ízhííynímí,íjííynĩ́mĩ,,ishíynimi,ishíynĩmĩ,shííynĩ́mĩ́gì
Mr. (honorific senior male),NN,*máguzu,low,0,máguzu,,,,,,
Mrs. (honorific senior female),NN,*mágizi,low,1,mágizi,,,mã̀qgízíqgì,,,
normal,JJ,*sólumalu,low,0,sólumalu,,,,,,
to cool,VB,*xázumumórumu,low,0,xázumumórumu,,,,,,
to say/to tell,VB,*tálimi,low,1,tálimi,ídàlímíngíngímí,,,,,
wing,NN,*zélirilára,medium,2,zélirilára,kélàrídàqngà,,,kélàridàqgà,,
family,NN,*núma,high,5,núma,,nṹṹmã̀gàrú,nṹṹmã,núma,nṹmãgaru,nṹṹmõ̀gòòg
alike/same,JJ,*sámi,low,0,sámi,,,,,,
unhappy,JJ,*férine,low,1,férine,,,,,,kérínĩ
way/manner,NN,*vérizi,high,5,vérizi,hérì,nẽ́rílí,ízàmĩ́mĩ,,kélirivérizi,ngérènĩ
all/each,DT,*zéreniri,high,6,zéreniri,ngérìnírílí,íínferenĩ,ízéràdímĩ,Hére,dzérenĩri,hérìgì
to remain,VB,*séradi,high,6,séradi,héràdímí,ízéràdímĩ́mĩ,ízéràdímĩ,ingéràdimi,azéradimĩ,íngérèdímĩ
soon,RB,*márali,medium,2,márali,,,,màràli,,mẽ̀rèlí
program,NN,*dóruva,high,6,dóruva,þàdórúvàgà,þàdrúvànṹ,ðdórúvã,ngdóruvànu,þadóruvã,ngdórúvòngò
always,RB,*zérani,high,5,zérani,ngéràní,nṍràmãã,ízàmĩ́mĩ,,dzéranĩ,ngérènĩ
video,NN,*tóralu,medium,2,tóralu,,,,,tóralugóruamã,tóròlú
to cook,VB,*fíza,low,1,fíza,,,ígíízàmĩ,,,
President,NNP,*máguzúra,high,4,máguzúra,Màgúngúúràgà,mã̀gúzúúràgo,mã̀gúzúúrã,,Mãguzúrago,
future,NN,*nérivári,medium,3,nérivári,,,nẽ́rígàrínĩ,,nẽ́rivari,nẽ́rívèrínĩ
market,NN,*márunu,high,5,márunu,màrúnúnú,mã̀rúnṹnṹ,mã̀rúnṹ,,mãrunũlu,mõ̀rúnṹ
tea,NN,*téziri,high,6,téziri,téngírí,tézírí,tézímĩ́lí,Teli,téziri,nẽ́rílí
river,NN,*zárunu,high,5,zárunu,ngàrúnúnú,tàzàrúnṹnṹ,dzàrúnṹlú,dngàrunubàrolulu,dzarunũ,
to flow,VB,*mézimi,high,5,mézimi,,ízàmĩ́mĩ,ígérímã̀mĩ,iméngimimi,imẽ́zimĩmĩ,ígérímĩ́mĩ
busy,JJ,*nólumuno,low,0,nólumuno,,,,,,
to be born,VB,*múranutórumu,low,1,múranutórumu,,,,,umṹranũtórumũmũ,
glory,NN,*mulugóramu,low,0,mulugóramu,,,,,,
letter,NN,*rázumu,low,1,rázumu,,,,,,ròngúmṹ
bridge,NN,*báluru,medium,3,báluru,,Þàbàlúrúgo,,,þabaluru,ngbòlúrúnṹ
bicycle,NN,*pórunu,medium,2,pórunu,,pórúnṹ,pórúnṹgù,,,
to repair,VB,*kázumu,high,6,kázumu,úgàngúmúmú,úgàzúmṹdàrúmṹmṹ,úgàzúmṹmṹ,ukàngumumu,ugazumũ,úkòngúmṹmṹlú
